jdate,q_ref0,q_ref1,q_ref2,q_ref3,w_ref0,w_ref1,w_ref2,a_ref0,a_ref1,a_ref2
2459000.5627777777,0.2615846684683516,0.6330184112752263,-0.4053366094676939,-0.6054447829770483,-3.7737449383758756e-05,-0.00011341956142637402,-0.0011172233080067161,-0.005954128682895502,-0.0038651133616858973,-0.008449296891525595
2459000.562800926,0.260885966487061,0.6333923176257155,-0.40463585809134595,-0.6058238248942649,-3.787501805695636e-05,-0.00011350865563891264,-0.0011174130726974785,-0.005931701871206511,-0.0038325462060252937,-0.007946000078344768
2459000.562824074,0.26018688522037775,0.6337654032735331,-0.4039344297338856,-0.606202255726927,-3.801206648377088e-05,-0.00011359699494336686,-0.001117591180085521,-0.00592569981697363,-0.003849301629446749,-0.007928090863285976
2459000.562847222,0.259487411415735,0.6341376745596159,-0.40323231125843695,-0.6065800822464111,-3.8149354523430595e-05,-0.00011368686308107687,-0.0011177801119503091,-0.0059361745538254644,-0.00391544447857754,-0.008395738357803956
2459000.56287037,0.25878754590004194,0.6345091302839607,-0.4025295036436746,-0.6069573035804927,-3.82868878891357e-05,-0.00011377826453786306,-0.001117979869567888,-0.005930035517434726,-0.003932191692952816,-0.00837751439847589
2459000.5628935187,0.2580872753940525,0.6348797767019847,-0.4018259936989537,-0.6073339264378047,-3.8423894477077254e-05,-0.00011386890983643594,-0.0011181679616365158,-0.005907230879633153,-0.0038994683841902535,-0.007873190490121662
2459000.5629166667,0.257386628901292,0.6352495977044199,-0.40112181071099395,-0.6077099347971323,-3.8560372067621054e-05,-0.0001139587963182031,-0.001118344370816802,-0.005909516738456592,-0.003941035427874436,-0.008097622720329824
2459000.5629398148,0.2566855931737603,0.6356185995557883,-0.40041694152649265,-0.608085335371889,-3.8697481731017245e-05,-0.0001140513641906771,-0.0011185428495438603,-0.005911588048542605,-0.003982506803216654,-0.008321774767213616
2459000.5629629632,0.25598415491796345,0.6359867884640765,-0.3997113729237079,-0.608460134836729,-3.883405796782408e-05,-0.0001141431724876102,-0.0011187296399525655,-0.005888493793138743,-0.003949639264672252,-0.00781646739754108
2459000.5629861113,0.2552823432062163,0.6363541484129079,-0.3990051342977052,-0.6088343172398354,-3.89700984477745e-05,-0.0001142342187077295,-0.0011189047247115035,-0.005882235729415944,-0.003966376901355011,-0.007797120762221722
2459000.5630092593,0.2545801447759933,0.6367206856194695,-0.3982982124643352,-0.6092078892609832,-3.9106382218936854e-05,-0.00011432680005185264,-0.0011190906158076795,-0.0058928758105090935,-0.004032806603614469,-0.008264141751687845
2459000.5630324073,0.2538775604697842,0.6370863988884385,-0.3975906084262091,-0.6095808500375888,-3.9242915292562325e-05,-0.00011442092170446932,-0.0011192873217914477,-0.0058864859334203,-0.00404953682585385,-0.008244566178867827
2459000.563055556,0.25317457699000645,0.6374512943560122,-0.39688230893663373,-0.6099532061911819,-3.9378905978794876e-05,-0.00011451427947742972,-0.0011194723104551952,-0.005863007186852976,-0.004016540598411608,-0.0077384021110421496
2459000.563078704,0.25247122348372963,0.637815356139869,-0.3961733435172134,-0.6103249418721087,-3.9514352068375255e-05,-0.00011460687351984476,-0.0011196455828087078,-0.005856603765263486,-0.004033306321252199,-0.007718523453945998
2459000.563101852,0.25176748666000437,0.6381785903969416,-0.3954636989367,-0.6106960637200638,-3.965004357133709e-05,-0.00011470100560911987,-0.001119829647565774,-0.005867334638160281,-0.004099826721870401,-0.008184704256179929
2459000.563125,0.2510633673984316,0.6385409959225766,-0.3947533762361722,-0.6110665708635249,-3.9785986457893966e-05,-0.0001147966792830076,-0.0011200245022467707,-0.005860799211199778,-0.0041164966189602015,-0.00816404752891013
2459000.5631481484,0.25035885238809313,0.6389025787858451,-0.39404236213540067,-0.6114364698760354,-3.992137812558125e-05,-0.00011489158503948471,-0.0011202076144807387,-0.005836941762425519,-0.004083333653888479,-0.007656878833167717
2459000.5631712964,0.2496539708551887,0.6392633232374493,-0.39333068628622386,-0.6118057450083786,-4.00562164955022e-05,-0.00011498572338380033,-0.0011203789890207125,-0.005830392190265529,-0.004100125233387585,-0.007636473925253652
2459000.5631944444,0.2489487094906907,0.6396232353698119,-0.39261833541906666,-0.6121744028548851,-4.019130222586301e-05,-0.00011508140462255023,-0.0011205611530226297,-0.005841207126762232,-0.004166818359644774,-0.008102289459926082
2459000.5632175924,0.24824306918620598,0.6399823139800114,-0.3919053105922423,-0.6125424425485964,-4.032664128457268e-05,-0.00011517863059485253,-0.0011207540929796442,-0.005834526131296513,-0.004183486685393782,-0.008080952441052907
2459000.563240741,0.24753703662794896,0.6403405650658948,-0.3911915985007481,-0.6129098706098423,-4.046142042817848e-05,-0.00011527508545925225,-0.0011209352729249582,-0.005810287425168733,-0.004150168817384197,-0.0075728669976564255
2459000.563263889,0.2468306411008705,0.6406979730209308,-0.39047722890845366,-0.6132766714009094,-4.0595637319367026e-05,-0.00011537076893051689,-0.0011211046902987322,-0.0058124704438280795,-0.004191964467260097,-0.007794790026740032
2459000.563287037,0.24612386930227215,0.6410545438618606,-0.389762188530272,-0.6136428514582668,-4.07305148224774e-05,-0.00011546915683563881,-0.001121296140876237,-0.005814441552740827,-0.004233641760660111,-0.008016368814171395
